regime,sharpe,total_bps,annual_bps,max_dd_bps,max_dd_days,win_rate,active_periods,pct_time_in_carry,n_periods,years,mean_turnover,funding_bps,cost_bps,basis_bps
Full Sample,0.37018493202660874,285.6384510231184,46.02092820299691,-1448.5777099901588,1808.3333333333333,0.6119601328903654,1505,0.22129098661961477,6801,6.206707734428473,0.0875541714376041,6111.637533089752,-5954.559199471455,128.56011740482379
Pre-2021,0.610503070861362,104.00898155305339,108.2315684109765,-343.69423241938523,309.0,0.6114519427402862,489,0.46438746438746437,1053,0.9609856262833676,0.18142129302824547,1979.4232284364546,-1910.3662155874251,34.95196870402441
Post-2021,0.3093423035782327,181.62946947006458,34.624302569906625,-1448.57770999016,1808.3333333333333,0.6122047244094488,1016,0.1767571329157968,5748,5.245722108145106,0.07035826346353567,4132.2143046532965,-4044.1929838840306,93.60814870079938
VIX <= 25,1.0166849387087105,624.8497806625755,128.36129493082436,-1295.6056943666158,1552.3333333333333,0.6337805840568271,1267,0.23753280839895013,5334,4.867898699520876,0.08878365447522105,5258.462837647042,-4735.720129708291,102.10707272382412
VIX > 25,-2.1736512954289084,-339.2113296394561,-253.3679716785508,-353.3751870684059,486.0,0.4957983193277311,238,0.16223585548738922,1467,1.3388090349075976,0.0830837811699499,853.1746954427093,-1218.839069763165,26.453044680999664
Pre-2021 & VIX <= 25,4.6869126305526345,408.234678557305,1104.501602541153,-250.2423204963858,34.666666666666664,0.6583850931677019,322,0.7950617283950617,405,0.36960985626283366,0.26723637324780136,1478.6609220345608,-1082.3073116535957,11.881068176339882
Pre-2021 & VIX > 25,-4.139598653896466,-304.2256970042516,-514.4372029203837,-353.3751870684059,213.0,0.5209580838323353,167,0.25771604938271603,648,0.5913757700205339,0.1277868678910231,500.7623064018937,-828.0589039338296,23.070900527684532
Post-2021 & VIX <= 25,0.42883469264703267,216.61510210526987,48.15500063539246,-1295.6056943666172,1552.3333333333333,0.6253968253968254,945,0.19172245891661593,4929,4.498288843258043,0.07412077131374914,3779.801915612482,-3653.4128180546954,90.22600454748422
Post-2021 & VIX > 25,-0.4267625033020489,-34.98563263520453,-46.80770080589178,-224.98412458199897,262.3333333333333,0.43661971830985913,71,0.08669108669108669,819,0.7474332648870636,0.0477143059620678,352.41238904081575,-390.78016582933543,3.3821441533151386
