scope,n,r2,inflow_z_coef,inflow_z_tstat,inflow_z_pval,funding_coef,funding_pval,vol_coef,vol_pval,status
pooled,13600,0.0006141926553399069,-2.3938126283575588e-06,-1.1170672195228744,0.2639655851752575,-0.01239780453264864,0.547883171934908,1.376426880515962e-06,0.8568564823138224,ok
BTC,6800,0.1029537396022433,5.627187539112402e-07,0.33790445874505165,0.7354351874040908,-0.20560327053177574,2.4325079385724038e-17,2.4189889129601266e-05,0.00691250586425739,ok
ETH,6800,0.10900820454689819,2.441778024650993e-08,0.008064285717958619,0.9935657006717941,-0.21783755342953204,4.393740515399826e-11,3.1329238384156745e-05,0.0008380762331880422,ok
pre_2021,2104,0.0007563445259752832,1.6466591422995008e-06,0.19868884708784035,0.8425061488236676,-0.020794704619302377,0.7140515363478421,-4.518851884796949e-06,0.6986540763545759,ok
post_2021,11494,0.0005260804786080264,-1.791530531376059e-06,-1.2721409317500538,0.20332305023480612,-0.0113488926085462,0.6079458637275418,5.942687153470376e-06,0.39200992722903993,ok
