scope,n,r2,usdt_z_coef,usdt_z_tstat,usdt_z_pval,status
pooled,13600,0.0004609249386072767,1.3811051103889053e-06,1.0408148595075433,0.2979614822268065,ok
BTC,6800,0.1029387806442178,1.6809655291109724e-07,0.0928597401649028,0.9260149901920673,ok
ETH,6800,0.10911438245170935,1.795074404090451e-06,1.1552427561323046,0.24799103032313374,ok
pre_2021,2104,0.0009056900730111117,3.5370352921698393e-06,0.5368331712432918,0.5913828563474259,ok
post_2021,11494,0.0004350723871283657,1.1727524515092458e-06,1.141085550697465,0.2538343236059021,ok
